service_request_id,service_code,service_notice,requested_datetime,text,agency_responsible,service_name,lat,long,media_url
35u23h58v89bf4b6jtfd,3561,2019-07-19T09:15:16+03:00,2019-07-26T11:34:42+03:00," Aino Achteen puiston skeittiradan molok roskiksen pussi on ollut jo puoli vuotta revittynä ulos , onko sen korjaaminen jonkun vastuulla ? Staran työntekijät eivät ole voineet olla havaitsematta asiaa ajellaanhan siinä nurmikoita muutaman viikon välein.",Kaupunkiympäristö,,60.2255343,24.8860154,
16g1vgt13vjlqtt3j571,2806,2019-12-12T11:43:11+02:00,2019-12-13T11:30:57+02:00," Alapuolelle olisi selvyyden vuoksi hyvä saada lisäkilpi, sallittu HSL alue linja-autoille Pysäkille on hetkittäin vaikeaa mahtua, muun pysäkillä olevan liikenteen vuoksi",Kaupunkiympäristö,City environment,60.1699259,24.9292966,
32l6vq64j0ain7ihdift,2806,2019-07-27T16:20:33+03:00,2019-08-09T15:35:02+03:00," ei erotu pimeässä, heijastava pinta puuttuu, törmäysvaara, liian alhaalla, merkki osuu päähän. muutenkin tarpeettomasti asetettu pyörätielle, kun muukin sijoitus olisi mahdollinen ks. kuva",Kaupunkiympäristö,City environment,60.168575,24.9212117,
5psv8s4pjf0t1jo6h4m5,2806,2019-07-01T22:20:48+03:00,2019-07-05T09:01:44+03:00,"... vaikka silloin kun vesi on matalalla? Kiitos! Päätyisi vähemmän roskaa mereen.",Kulttuuri ja vapaa-aika,City environment,60.1767948,24.9562358,
2oqntdp56qiaa1qfpcj1,2806,2019-08-20T16:30:32+03:00,2019-08-26T08:25:02+03:00,"...edessä on ollut pidemmän ajan työkoneita jne. Ilman katulupia.",Kaupunkiympäristö,City environment,60.1580436,24.951849,https://asiointi.hel.fi/palautews/rest/v1/attachment/3evldpp43d1h4k26djvt.jpg
3pjk074r69jp828nf53h,2806,2019-08-26T12:27:35+03:00,2019-08-27T10:08:04+03:00,"...hieman siivottavaa ",Kaupunkiympäristö,City environment,60.1980343,25.1326755,https://asiointi.hel.fi/palautews/rest/v1/attachment/3hk2g3qgooo3trtdd6ip.JPG
3u2rmj61q4de0fclqvsh,2806,2019-09-05T14:17:05+03:00,2020-01-08T07:25:03+02:00,"...kulmasta puuttuu maksullisuus merkki",Kaupunkiympäristö,City environment,,,https://asiointi.hel.fi/palautews/rest/v1/attachment/1e0badkmfdlbg0d1c821.jpg
1d60ehuio2k5mg21lb0n,2806,2019-11-15T11:42:11+02:00,2019-11-18T10:20:03+02:00,"...paikkamerkin kohdalla, 60°12′52″ N  24°54′45″ E",Kaupunkiympäristö,City environment,60.214416,24.9125698,
27sgc0kkvn6fuk74eb7f,2809,2020-05-27T11:47:48+03:00,2020-06-01T09:17:58+03:00,"Alepapyörien iso keltainen kyltti makaa pyörien parkin edessä maassa os. Teollisuuskatu 2aA-rapun kohdalla.",Liikenneliikelaitos,General and other feedback,60.1920975,24.9551519,
dnmbm0lkoo0s61et19aa,2806,2019-06-17T19:56:27+03:00,2019-06-18T14:18:38+03:00,"Olemme välittäneet tiedon tarkastajalle eli todellisuudessa järjestelyille ei tapahdu mitään. Kuka näiden järjestelyjen hyväksymisestä on vastuussa?",Kaupunkiympäristö,City environment,60.180718,24.9591678,
3is7rpakekqbv03slklb,2806,2019-09-05T08:27:02+03:00,2020-01-07T08:30:06+02:00,"/ Hakaniemen ranta, kulmassa oleva pys.kielto merkki ei ole nähtävillä.",Kaupunkiympäristö,City environment,60.177637,24.9520726,https://asiointi.hel.fi/palautews/rest/v1/attachment/81v3gc35kbqags212pli.jpg
3prat934f7vj8hlvf4oq,2809,2019-07-24T07:52:14+03:00,2019-07-24T09:25:02+03:00,"😅 kun lisäät paikkatiedon, vahvistuspainikkeessa lukee VALMI",Kaupunginkanslia,General and other feedback,60.1680614,24.9339659,https://asiointi.hel.fi/palautews/rest/v1/attachment/id9on67k29pqcvv4ra1c.jpg
2s48lk0p0m70rsc8efug,2807,2020-01-31T16:41:10+02:00,2020-02-03T12:47:09+02:00,"1 merkki pois tai suojatien rakentaminen.",Kaupunkiympäristö,Culture and leisure,60.1596406,24.8801569,https://asiointi.hel.fi/palautews/rest/v1/attachment/j3i53n72hlq4j6leif2g.jpg
3pbef56p9l829367unve,2806,2019-10-01T07:54:28+03:00,2019-10-03T08:38:30+03:00,"1.10. klo 7:45 Staran auto CKE-572 tukki koko kävelytien Tokoinrannassa vaikka lähistöllä oli hyvin tyhjiä paikkoja johon pysäköidä auto työn ajaksi.",Stara,City environment,60.1804506,24.9403559,https://asiointi.hel.fi/palautews/rest/v1/attachment/2kvbvor0jgqnp6hpsgj7.JPG
2ojpt3ngcim4pm5gong0,2806,2019-08-31T21:42:49+03:00,2019-09-03T07:46:09+03:00,"1) Kuvan opasteesta tulisi ymmärtää, että jos haluaa edetä kehä I suuntaisesti länteen, esim. Malmille tai Leppävaaraan, tulee kääntyä vasemmalle. Jos jatkaa suoraa päätyi aikalailla umpikujaan teollisuusalueelle. 2) voitaisiinko, varsinkin pyöräilyn opasteissa, siirtyä käyttämään vähintään samoja merkkikokoja sekä sijoittelu periaatteita, kuin moottoriajoneuvoliikenteelle 40-50km/h nopeusrajoitusalueilla. Näin merkit näkyisivät ajoissa, pyöräily olisi sujuvampaa ja risteysalueiden turvallisuus lisääntyisi, kun huomio kiinnittyisi liikenteeseen, eikä postimerkkien tihrustamiseen.",Kaupunkiympäristö,City environment,60.2379521,25.0467158,https://asiointi.hel.fi/palautews/rest/v1/attachment/1bdaiv6h89k5uo4kq7sk.jpg
2t6lulf8snfaa315ucfg,3020,2020-04-09T10:55:14+03:00,2020-04-16T12:58:06+03:00,"10 pistettä, puistojen ja ulkoilualueitten ylläpidosta. Upeita kukkaistutuksia ja siistii. Haamuarmeijako kun en koskaan duunareita nää, menen mihin aikaan tahansa. Tällä hetkellä, en voi sanoilla kuvata miten kiitollinen olen.",Kaupunkiympäristö,,,,
3qvd5evdi1bmvskakgd6,2806,2019-11-04T14:54:39+02:00,2019-11-11T13:30:02+02:00,"16:tai puolella ylimääräinen merkki.",Kaupunkiympäristö,City environment,60.1656422,24.9427782,https://asiointi.hel.fi/palautews/rest/v1/attachment/3hvdtaj1octub8r11e4g.jpg
vfbnfpoalmt6i50m4u25,2809,2019-10-16T08:18:55+03:00,2019-10-17T10:17:29+03:00,"16.10 aamulla kaikki liikenne estetty taidenmaalarinkadulla asfaltti töistä johtuen. Meidän tapauksessa vammaiskuljetus ei päässyt perille asti ja piti jättää ajamatta. Johti siihen että lapsi oli pakko pitää kotona kun ei kyyti sujunut. Eli päästy töihinkään kun vasta puolen päivän mennessä. Miten olisi voisiko nämät työt tehdä ruuhka ajan ulkopuolella?",Kaupunkiympäristö,General and other feedback,60.2622032,24.8914517,https://asiointi.hel.fi/palautews/rest/v1/attachment/3oa7k9gug7dm0i2eo293.jpg
3j6uirr8ktn6limeqdua,2809,2020-02-13T11:50:31+02:00,2020-02-13T14:35:38+02:00,"2 katuvaloa pimeänä kolkkapojanpolulla ja 3 valoa pimeänä pitäjänmäen urheilukentän ulkopuolella hiekkakäytävällä",Kaupunkiympäristö,General and other feedback,,,
3c15pdiilgltv4vp70it,2806,2019-08-12T09:47:57+03:00,2019-09-11T11:35:03+03:00,"2 kk pyörätiellä Hiomotie 30 kohdalla. Remontti menossa.",Kaupunkiympäristö,City environment,60.2207481,24.8644363,
1g9v3n2hi8esbak04c9p,2809,2020-02-13T08:56:59+02:00,2020-02-17T07:34:07+02:00,"2 kk sitten luvattiin peittää ja tasoittaa tukkutorinkuja siksi aikaa että katutyöt saadaan alkuun ja mitään ei ole tapahtunut. Erittäin vaarallinen paikka pakkasilla ja sateiden jälkeen. Korjatkaa asap!",Kaupunkiympäristö,General and other feedback,60.1888095,24.9792364,https://asiointi.hel.fi/palautews/rest/v1/attachment/1qril2a6vicms2gtvl0g.HEIC
2gjs8u90fv41d52jppoc,2806,2020-01-13T18:07:22+02:00,2020-01-14T14:35:04+02:00,"2 pimeää katuvaloa",Kaupunkiympäristö,City environment,60.1637264,24.9341907,
2af7s90n7g6oer5hgmlj,2809,2020-04-14T19:40:42+03:00,2020-04-17T08:35:01+03:00,"2-3 kaivonkantta 150 metrin matkalla tosi syvälle vajonnut asvalttiin - meinaa auton pyörä hajota jos tipahtaa noihin monttuihin.",Kaupunkiympäristö,General and other feedback,60.1798559,24.9577814,
2tojs2rqvu9f81of0lac,2809,2019-10-23T18:26:23+03:00,2019-10-28T07:52:11+02:00,"23.10 klo 15.15 kaaduin työmatkalla pyörällä tässä. Harjausta ei suoritettu ja eturengas lähti alta. Löin kylkeni ja lonkkani. Kävin Terveystalolla tarkistuksessa. Pyörä lähtee huoltoon. Kuka korvaa tämän? Mihin voin laittaa asiaa eteenpäin?",Kaupunkiympäristö,General and other feedback,60.2282705,24.907426,
2omscenvecjqm9jq27v1,2809,2020-01-22T14:24:27+02:00,2020-01-23T11:18:38+02:00,"24h liityntäpysäköintipaikan merkit puutteelliset. P-alueen merkki maassa, tolppa puuttuu. Myös aluepysäköintikielto puuttuu. Pyva 240",Kaupunkiympäristö,General and other feedback,60.263653,25.0310539,https://asiointi.hel.fi/palautews/rest/v1/attachment/28pne406ep7qqi7jd3rh.jpg
3g401qa37c4741532psb,2806,2020-02-18T19:29:15+02:00,2020-02-21T07:55:02+02:00,"3. linja 6 ks. kuva",Kaupunkiympäristö,City environment,60.1694827,24.9405739,
3n65nsh5ano9v9rn8f9d,2809,2019-12-05T08:41:34+02:00,2019-12-05T15:02:53+02:00,"3kerta kun on pimeänä.",Kaupunkiympäristö,General and other feedback,60.2527634,24.8835369,
