service_request_id,service_code,service_notice,requested_datetime,text,class,agency_responsible,service_name,lat,long,media_url
3u2rmj61q4de0fclqvsh,2806,2019-09-05T14:17:05+03:00,2020-01-08T07:25:03+02:00,"...kulmasta puuttuu maksullisuus merkki",Kadut,Kaupunkiympäristö,City environment,,,https://asiointi.hel.fi/palautews/rest/v1/attachment/1e0badkmfdlbg0d1c821.jpg
3is7rpakekqbv03slklb,2806,2019-09-05T08:27:02+03:00,2020-01-07T08:30:06+02:00,"/ Hakaniemen ranta, kulmassa oleva pys.kielto merkki ei ole nähtävillä.",Kadut,Kaupunkiympäristö,City environment,60.177637,24.9520726,https://asiointi.hel.fi/palautews/rest/v1/attachment/81v3gc35kbqags212pli.jpg
2s48lk0p0m70rsc8efug,2807,2020-01-31T16:41:10+02:00,2020-02-03T12:47:09+02:00,"1 merkki pois tai suojatien rakentaminen.",Kadut,Kaupunkiympäristö,Culture and leisure,60.1596406,24.8801569,https://asiointi.hel.fi/palautews/rest/v1/attachment/j3i53n72hlq4j6leif2g.jpg
3c15pdiilgltv4vp70it,2806,2019-08-12T09:47:57+03:00,2019-09-11T11:35:03+03:00,"2 kk pyörätiellä Hiomotie 30 kohdalla. Remontti menossa.",Kadut,Kaupunkiympäristö,City environment,60.2207481,24.8644363,
1g9v3n2hi8esbak04c9p,2809,2020-02-13T08:56:59+02:00,2020-02-17T07:34:07+02:00,"2 kk sitten luvattiin peittää ja tasoittaa tukkutorinkuja siksi aikaa että katutyöt saadaan alkuun ja mitään ei ole tapahtunut. Erittäin vaarallinen paikka pakkasilla ja sateiden jälkeen. Korjatkaa asap!",Kadut,Kaupunkiympäristö,General and other feedback,60.1888095,24.9792364,https://asiointi.hel.fi/palautews/rest/v1/attachment/1qril2a6vicms2gtvl0g.HEIC
2gjs8u90fv41d52jppoc,2806,2020-01-13T18:07:22+02:00,2020-01-14T14:35:04+02:00,"2 pimeää katuvaloa",Kadut,Kaupunkiympäristö,City environment,60.1637264,24.9341907,
2af7s90n7g6oer5hgmlj,2809,2020-04-14T19:40:42+03:00,2020-04-17T08:35:01+03:00,"2-3 kaivonkantta 150 metrin matkalla tosi syvälle vajonnut asvalttiin - meinaa auton pyörä hajota jos tipahtaa noihin monttuihin.",Kadut,Kaupunkiympäristö,General and other feedback,60.1798559,24.9577814,
2omscenvecjqm9jq27v1,2809,2020-01-22T14:24:27+02:00,2020-01-23T11:18:38+02:00,"24h liityntäpysäköintipaikan merkit puutteelliset. P-alueen merkki maassa, tolppa puuttuu. Myös aluepysäköintikielto puuttuu. Pyva 240",Kadut,Kaupunkiympäristö,General and other feedback,60.263653,25.0310539,https://asiointi.hel.fi/palautews/rest/v1/attachment/28pne406ep7qqi7jd3rh.jpg
1m8th7r76qre7trep4r5,2806,2019-07-04T11:53:39+03:00,2019-07-10T15:30:47+03:00,"4 standardivastauksen jälkeen voisitteko nyt oikeasti kertoa mitä työmaan kuriinlaittamiselle on tehty tän viikon aikana kun sama jalkakäytävän ja suojateiden tukkiminen nosturilla ja lippusiimalla vai jatkuu päivittäin!",Kadut,Kaupunkiympäristö,City environment,60.1832883,24.9439189,https://asiointi.hel.fi/palautews/rest/v1/attachment/2887tphg3slrogiomdq5.JPG
nsrnudo2r738o6sajpnd,2806,2020-02-04T10:39:40+02:00,2020-03-10T07:55:08+02:00,"60 minuutin kiekkopaikkoja osoittava merkki on liian lähellä suhteessa liikenteenjakajaan. Jos parkkeeraisi heti liikennemerkin jälkeen, pahimmassa tapauksessa tienkäyttäjät joutuvat kiertämään jakajan väärältä puolelta.",Kadut,Kaupunkiympäristö,City environment,60.2458914,24.9252149,
3p7dvm3ugii0lok9mudv,2809,2020-04-08T17:38:10+03:00,2020-04-21T10:10:04+03:00,"9-11 kohdilla on vaarallinen monttu tiessä!",Kadut,Kaupunkiympäristö,General and other feedback,60.1852288,24.948331,
ek6vtvplq9fnf96g5qbe,2806,2019-09-09T21:37:41+03:00,2019-09-16T09:57:36+03:00,"9.8.2019 Kaupunkiympäristö vastasi katukorjauksista (Kanneltie ja Kantelettarentie): RTA kertoi, että elokuun aikana tulee asfalttiryhmä tekemään päällystyksiä. Kuka ei puhu totta? Käykää toteamassa missä kunnossa kadut ovat. ",Kadut,Kaupunkiympäristö,City environment,60.2416309,24.8800742,
